feature	ATF3	CTCF	E2F1	EGR1	FOXA1	FOXA2	GABPA	HNF4A	JUND	MAX	NANOG	REST	TAF1
rna1	0.00417329800853583	0.00381978422634193	0.00829093856565918	0.00412761296699567	0.00431191762424382	0.0049621939942451	0.00577077847310477	0.00258224284558528	0.00387441882192067	0.00339998317508706	0.0052051544049538	0.00491285233995604	0.00644400784330736
rna2	0.00240951741433941	0.00327017696842984	0.00401073916103423	0.00341100041295438	0.00400050744691777	0.00423241701609799	0.00379203794652749	0.00212860071225857	0.00335934767251447	0.00280266853485012	0.00325545664766554	0.00455648262263939	0.00323616121838548
rna3	0.00181963517801782	0.00247828123234618	0.00381888327789535	0.00341951942804516	0.00352488675684538	0.00394483189762659	0.00275233661366154	0.00240296085695828	0.00248815474843854	0.00295343732300677	0.00335055352143437	0.00330185319028334	0.00252133242070176
rna4	0.00185679768849566	0.0022518559392778	0.00301538246936837	0.00262890745364399	0.00260888689735536	0.00325665105380565	0.00231379557093589	0.00191361629862855	0.00256759064451129	0.00219950723242408	0.0020938331643211	0.00306178883257507	0.00296168662947628
rna5	0.00199885433273971	0.0020581973322493	0.00284711222544831	0.00213831104243875	0.00248745306344056	0.00261866279669684	0.00201973596617121	0.00109859537421675	0.00210784128030084	0.0019416627770162	0.00229858138336419	0.00271387790244021	0.00203126855053515
rna6	0.002795172452014	0.00208573322644429	0.00231255515177479	0.00193675135416611	0.00246209384088283	0.00260348773870006	0.00168531894734066	0.00151653508254045	0.00186643290676127	0.00165166750554805	0.00178329169291915	0.00217936996525635	0.00194420592168934
rna7	0.00185861889713179	0.00174763556317897	0.00179536660030828	0.00160890291729449	0.00189022427883599	0.00245871291954833	0.00173930012173703	0.000755260261536141	0.00161037506152356	0.00152407997667638	0.00191345789521732	0.00210938031911879	0.00231341464210607
rna8	0.0021072631540962	0.00152361834225003	0.00175144976166414	0.0014848522689016	0.00188784809547946	0.00241674759869335	0.00175315667975207	0.00139099919732095	0.00206289454842332	0.0016334859688337	0.00197021261431216	0.00184793345606016	0.00190588282616044
rna9	0.00255055163935304	0.00139172646392226	0.0019062398880467	0.00166513407046439	0.00164981992467156	0.00212009689990342	0.0012887409782769	0.00125381912497109	0.00205965241293226	0.00121327888188618	0.00203082542632241	0.00162519965294588	0.00118570058254322
rna10	0.00131229712703982	0.00124969279450195	0.00162021411713507	0.00138760796922084	0.00164981992467156	0.00192504819842008	0.00151998547401395	0.00153419382913897	0.00145232299415353	0.00135002398431774	0.00128851685949801	0.00151286079170936	0.00109585029709444
rna11	0.00190903050559975	0.00138844113577606	0.00197645704177252	0.00135494019450876	0.00200409391113783	0.00193010344345496	0.00138322175603146	0.00113429779921977	0.00153595599289117	0.00124556499497965	0.00132031336188274	0.00185003116316083	0.00113415133057499
rna12	0.00180185224560802	0.00127021875508316	0.00137216061265584	0.00103736789666663	0.00192303152926178	0.0016716516170948	0.00145621658059516	0.00126264849827035	0.00118005030533589	0.00151162164974248	0.00143709562621704	0.00131132028182098	0.00122107641620386
rna13	0.000999935008699939	0.00121503752871017	0.00114467343019862	0.0012719062554379	0.00139932996835651	0.00174441753609162	0.00133119495721586	0.000937357063994238	0.00128365298784945	0.00118367009650891	0.00133814065953281	0.00140696185343513	0.00102839236899319
rna14	0.00101200017354054	0.00127252855647723	0.00108205108752262	0.00137433473781495	0.0014094736573796	0.00192346218800895	0.00132409818987471	0.000856737908882984	0.00137129095359874	0.00116067878555421	0.00112982698095971	0.00133036111066592	0.000986253035129372
rna15	0.000943386419475156	0.00121467644285751	0.00152160732166142	0.00105925000878354	0.00150560635560914	0.00161413272882209	0.0012360344406645	0.00106570776304483	0.00107874657298031	0.00119774404328382	0.000720330542873529	0.00137477601113988	0.001174917947756
rna16	0.00117578113627374	0.000953747974390757	0.00129145291289669	0.00134360567650134	0.00163724196541949	0.00164840256158768	0.00120180586945472	0.000883610960586738	0.00115871544009933	0.00129076406443613	0.00143680299283165	0.00141272932344144	0.000951675473895732
rna17	0.00102270442663411	0.00114677834915159	0.000523338377160844	0.00117131958410999	0.00167259965981918	0.00171377020629658	0.00121596153587263	0.00101797621910549	0.00102933547211705	0.00148324708644222	0.00153932341904589	0.00126726605602724	0.00117154344312037
rna18	0.000995009550499776	0.00119581454831463	0.00152301488481354	0.00094305093798424	0.00170558117086233	0.00156899538714484	0.00135894654823703	0.00105969320357667	0.00122200564252422	0.00119220434269125	0.000865051216677159	0.00168000010419096	0.00110641960880416
rna19	0.00184120061450038	0.00134950160895224	0.00128711880647841	0.00141510576109807	0.00185477945412762	0.00191138717810711	0.00161015915601971	0.000638938681421872	0.00148892934830345	0.00165544977382937	0.00117915814760913	0.00153785614533234	0.00106616165250696
rna20	0.00148347724165901	0.00192277837471216	0.00211380935287202	0.00223818124651529	0.00239120419146611	0.00219603483972251	0.0029232666204224	0.00125381912497109	0.00196949307802508	0.00202823501882562	0.00152862704045584	0.00242038318404092	0.00243507581391326
ATF3_top1_+-0	0.0159602795485148	0.00164351831555958	0.00132798445705305	0.00163226233249099	0.00143987568101264	0.00196913130745396	0.00126244119614432	0.00089564007952306	0.00332245983865599	0.0013050800937141	0.00181479556191848	0.00187803850850181	0.00131409761030921
ATF3_top1_+-1	0.0348072247870653	0.00235540847498919	0.00181027612451861	0.00222493233381705	0.00211541309946578	0.00340421938435871	0.00168918488378061	0.00258505765941637	0.0185047259491385	0.00183240825341397	0.00185045015721863	0.00235333760044722	0.00201262127918066
ATF3_top1_+-3	0.027949766095768	0.00181879664879979	0.00144782931071076	0.00189004691461826	0.00211292074236435	0.00278775022689122	0.00145801672070199	0.0013641261456172	0.00448887376384198	0.00141288639645426	0.0022106154286554	0.00133118020233366	0.00158628587892407
ATF3_top1_+-5	0.0073989493902497	0.00155434322669989	0.0011393608211043	0.00134612710211693	0.00203446689133464	0.0024211271205058	0.00151777724600994	0.00103883471134108	0.00170521051866078	0.00119987166884627	0.00190989243568731	0.00140964744945066	0.00158639263765693
ATF3_top1_+-7	0.0014972173099379	0.00146136000298436	0.00144225973549904	0.00189896866196558	0.00197879277545256	0.00194052047021834	0.00125150936030536	0.00128670673614301	0.00160898842860053	0.000999558537402421	0.00186114653580867	0.00160804956046688	0.00104179688850946
ATF3_top1_+-9	0.00179306070028241	0.00158540141002431	0.00140061187096898	0.00127677752534403	0.00163469152144561	0.00175861033417236	0.00137960200902022	0.00160316879711986	0.0014781776171017	0.00123990305592415	0.00236959794057909	0.00152579968512517	0.00130879764583674
ATF3_top1_+-11	0.00124925480373726	0.00169778006881466	0.000866039567695478	0.00147054807096269	0.0019407975067703	0.00190074491026959	0.00166865948777222	0.00197619177533532	0.00158627308510539	0.00109602028421267	0.00245429106914326	0.0012751495222591	0.00095220541568136
ATF3_top1_+-13	0.00140107913886019	0.00174101647350774	0.00121176113801695	0.00151805458793515	0.00170300168345222	0.00190134866076468	0.00169667442778085	0.00199423545373981	0.00169396716203182	0.00113409593590615	0.00230927776195423	0.00156145024629196	0.00144114995036477
ATF3_top2_+-0	0.00274039199040344	0.0018157959859421	0.000735876262363122	0.00169346573967986	0.00119692088287434	0.00208039331268201	0.00135967689100488	0.000552304966842455	0.00212714037373878	0.000935244969058948	0.00143709562621704	0.00151648348439562	0.00128882000479739
ATF3_top2_+-1	0.00469261640190592	0.00253570894550906	0.00144502976308918	0.00215535408453712	0.00182944927500612	0.00288368390577569	0.00192435480248119	0.00147763291190037	0.00920658320451426	0.00113066341730396	0.00216841518106601	0.00243074986097872	0.00169232044307521
ATF3_top2_+-3	0.00522545060956098	0.00167299932393262	0.0012327422300836	0.00167968888506591	0.00169282895099291	0.00279106619316816	0.0015320682721412	0.00127467761720668	0.00283058175547547	0.000967277946838132	0.00129594041194342	0.00121753751161532	0.0016413104237106
ATF3_top2_+-5	0.00186058366790494	0.0014553257612702	0.00129936110438122	0.00133597504067721	0.00150317208538016	0.00195229826631871	0.00129209327419002	0.00129553610944228	0.0016289412897461	0.00100064327985929	0.00117915814760913	0.00136977867146158	0.00128487931452692
ATF3_top2_+-7	0.00094675668909057	0.00123911269048811	0.000925391178387951	0.00147472409855571	0.00164724043726146	0.00152793103058643	0.000941653341668049	0.00109258081474858	0.00122067683134895	0.000768497340927541	0.00146889212860178	0.00135172512611671	0.00124972446502338
ATF3_top2_+-9	0.000883536841959757	0.00135879913653864	0.00136387507333003	0.00117382659441909	0.00156887371654043	0.00160628397238589	0.00123984029782692	0.00144474530072846	0.001325851887093	0.00112712046659691	0.00146889212860178	0.00128421061314621	0.00101483427013818
ATF3_top2_+-11	0.00080705541208385	0.00154250507015191	0.00065928312510822	0.00117961096439298	0.00153600837924219	0.00139402372034635	0.0010684658565169	0.00130155066891044	0.00131185696218645	0.00094994219617636	0.00115835065719983	0.00101315040246048	0.00143970632021536
ATF3_top2_+-13	0.00124454575565077	0.00134911121159274	0.00119986302883149	0.00139824133113983	0.00143222434909099	0.00169369317161174	0.00129895682045897	0.00203876725204209	0.00144303657545241	0.000868950355868366	0.00162460181438085	0.001547602243028	0.00107316301087836
